,roles,companies,locations,experience,skills
0,"Lead Data Scientist - Data Analysis, Machine Learning",HERE,Mumbai,8-13 Yrs,"GIS
Data analysis
SAS
Social media
Debugging
Data mining
MATLAB
Automotive"
1,"Senior Data Scientist, Machine Learning",ExecBoardinAsia,Bengaluru,11-15 Yrs,"Prototype
Analytical
Machine learning
Packaging
model development
Analytics"
2,Data Scientist/Data Analyst/Data Engineering,Similarityx solutions private limited,"Chennai, Bengaluru, Hyderabad",0-2 Yrs,"tableau
data management
data analysis
oracle
data mining
hadoop
machine learning
sql server"
3,"Hiring For Data Scientist-research and Analyst, Kalyani Nagar, PunR",Wolters Kluwer India Pvt Ltd,Pune,4-7 Yrs,"texanomies
categorization
Content Analysis
Tagging
Content Research"
4,Data Scientist – Machine Learning and Predictive Sciences,AT&T Communication Services India Private Limited,Bengaluru,9-14 Yrs,"Predictive Modeling
SAS Macros
Multivariate Analysis
Natural Language Processing
Machine Learning
SAS STAT
Base SAS
Data Science"
5,SENIOR DATA SCIENTIST,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"Data analysis
Machine learning
SCALA
Customer service
Business intelligence
Troubleshooting
Forecasting
Product marketing"
6,Senior Data Scientist,Fractal Analytics Ltd,Bengaluru,4-8 Yrs,"Process automation
Biometrics
customer analytics
Prototype
Diagnostics
Analytical
Artificial Intelligence
Machine learning"
7,We are hiring For Senior Data Scientist Role - Mumbai,RANDSTAD INDIA PVT LTD,Mumbai,4-9 Yrs,"data scientist
Machine Learning
Deep Learning
Data Science
Cloud Computing
Data Mining
Data Extraction
Data Visualization"
8,Senior Service Data Scientist,Philips India Limited,Pune,4-9 Yrs,"Text mining
Analytical
Artificial Intelligence
Machine learning
HTML
big data
Monitoring
SQL"
9,Principal Data Scientist - NLP/Voice AI,TVS MOTOR COMPANY LTD,Bengaluru,4-8 Yrs,"Data Science
Recommender Systems
Cnn
Rnn
NLP
C
Artificial Intelligence
Classification"
10,Principal Data Scientist (OFG),TVS MOTOR COMPANY LTD,Bengaluru,12-18 Yrs,"Software Development
C
Algorithms
Open Source
Mip
Reinforcement Learning
Production Deployment
SQL"
11,Data Scientist - Image Recognition/Machine Learning,CarbyneTech India,Hyderabad,5-10 Yrs,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
12,Data Scientist - Image Recognition/ Machine Learning,CarbyneTech India,Hyderabad,5-10 Yrs,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
13,Data Scientist - Machine Learning/Python,CarbyneTech India,Hyderabad,3-8 Yrs,"Predictive Modeling
R
Data Scientist
Data Management
Machine Learning
Python
SQL"
14,"Data Scientist, NLP",Fractal Analytics Ltd,Bengaluru,3-7 Yrs,"deep learning
customer analytics
Statistical analysis
Executive
Diagnostics
Artificial Intelligence
Machine learning
Data analytics"
15,Data Scientist (Active IQ),Netapp India Private Limited,Bengaluru,3-5 Yrs,"Data Science
R
SAS SQL
Data Wrangling
Linear Regression
Neural Networks
Data Analysis
Decision Trees"
16,Senior Data Scientist,Prokarma Softech Pvt. Ltd.,"Chennai, Bengaluru, Hyderabad",6-11 Yrs,"Tensorflow
Data Science
Time Series
Machine Learning
Deep Learning
Python"
17,Senior Data Scientist,Decision Point,Gurgaon,3-5 Yrs,"Azure
timeseries forecasting
Machine Learning Models
data analytics
data science
sas
data mining
stata"
18,Data Scientist - Machine Learning/artificial Intelligence,3D India Staffing Research Consulting Pvt Ltd,"Gurgaon, Gurugram",5-9 Yrs,"Data Science
Java
R
Artificial Intelligence
Data Scientist
SCALA
Data Mining
Data Visualization"
19,Machine Learning & Data Scientist - R/python,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,5-8 Yrs,"Java
Business Intelligence
R
ETL Tools
SCALA
Data Mining
Perl
Machine Learning"
20,"Lead Data Scientist - Data Analysis, Machine Learning",HERE,Mumbai,8-13 Yrs,"GIS
Data analysis
SAS
Social media
Debugging
Data mining
MATLAB
Automotive"
21,"Senior Data Scientist, Machine Learning",ExecBoardinAsia,Bengaluru,11-15 Yrs,"Prototype
Analytical
Machine learning
Packaging
model development
Analytics"
22,Data Scientist/Data Analyst/Data Engineering,Similarityx solutions private limited,"Chennai, Bengaluru, Hyderabad",0-2 Yrs,"tableau
data management
data analysis
oracle
data mining
hadoop
machine learning
sql server"
23,"Hiring For Data Scientist-research and Analyst, Kalyani Nagar, PunR",Wolters Kluwer India Pvt Ltd,Pune,4-7 Yrs,"texanomies
categorization
Content Analysis
Tagging
Content Research"
24,Data Scientist – Machine Learning and Predictive Sciences,AT&T Communication Services India Private Limited,Bengaluru,9-14 Yrs,"Predictive Modeling
SAS Macros
Multivariate Analysis
Natural Language Processing
Machine Learning
SAS STAT
Base SAS
Data Science"
25,SENIOR DATA SCIENTIST,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"Data analysis
Machine learning
SCALA
Customer service
Business intelligence
Troubleshooting
Forecasting
Product marketing"
26,Senior Data Scientist,Fractal Analytics Ltd,Bengaluru,4-8 Yrs,"Process automation
Biometrics
customer analytics
Prototype
Diagnostics
Analytical
Artificial Intelligence
Machine learning"
27,We are hiring For Senior Data Scientist Role - Mumbai,RANDSTAD INDIA PVT LTD,Mumbai,4-9 Yrs,"data scientist
Machine Learning
Deep Learning
Data Science
Cloud Computing
Data Mining
Data Extraction
Data Visualization"
28,Senior Service Data Scientist,Philips India Limited,Pune,4-9 Yrs,"Text mining
Analytical
Artificial Intelligence
Machine learning
HTML
big data
Monitoring
SQL"
29,Principal Data Scientist - NLP/Voice AI,TVS MOTOR COMPANY LTD,Bengaluru,4-8 Yrs,"Data Science
Recommender Systems
Cnn
Rnn
NLP
C
Artificial Intelligence
Classification"
30,Principal Data Scientist (OFG),TVS MOTOR COMPANY LTD,Bengaluru,12-18 Yrs,"Software Development
C
Algorithms
Open Source
Mip
Reinforcement Learning
Production Deployment
SQL"
31,Data Scientist - Image Recognition/Machine Learning,CarbyneTech India,Hyderabad,5-10 Yrs,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
32,Data Scientist - Image Recognition/ Machine Learning,CarbyneTech India,Hyderabad,5-10 Yrs,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
33,Data Scientist - Machine Learning/Python,CarbyneTech India,Hyderabad,3-8 Yrs,"Predictive Modeling
R
Data Scientist
Data Management
Machine Learning
Python
SQL"
34,"Data Scientist, NLP",Fractal Analytics Ltd,Bengaluru,3-7 Yrs,"deep learning
customer analytics
Statistical analysis
Executive
Diagnostics
Artificial Intelligence
Machine learning
Data analytics"
35,Data Scientist (Active IQ),Netapp India Private Limited,Bengaluru,3-5 Yrs,"Data Science
R
SAS SQL
Data Wrangling
Linear Regression
Neural Networks
Data Analysis
Decision Trees"
36,Senior Data Scientist,Prokarma Softech Pvt. Ltd.,"Chennai, Bengaluru, Hyderabad",6-11 Yrs,"Tensorflow
Data Science
Time Series
Machine Learning
Deep Learning
Python"
37,Senior Data Scientist,Decision Point,Gurgaon,3-5 Yrs,"Azure
timeseries forecasting
Machine Learning Models
data analytics
data science
sas
data mining
stata"
38,Data Scientist - Machine Learning/artificial Intelligence,3D India Staffing Research Consulting Pvt Ltd,"Gurgaon, Gurugram",5-9 Yrs,"Data Science
Java
R
Artificial Intelligence
Data Scientist
SCALA
Data Mining
Data Visualization"
39,Machine Learning & Data Scientist - R/python,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,5-8 Yrs,"Java
Business Intelligence
R
ETL Tools
SCALA
Data Mining
Perl
Machine Learning"
40,Machine Learning/data Scientist - Python/java/etl,3D India Staffing Research Consulting Pvt Ltd,"Gurgaon, Gurugram",5-8 Yrs,"Java
R
Data Scientist
SCALA
Data Mining
Perl
Machine Learning
Statistical Analysis"
41,Service Data Scientist,Philips India Limited,Pune,4-7 Yrs,"Text mining
Analytical
Artificial Intelligence
Machine learning
HTML
big data
Monitoring
SQL"
42,Data Scientist - Machine Learning/ NLP/ Tensorflow,Newgen Software,Noida,2-5 Yrs,"Data Science
Tensorflow
NLP
Data Scientist
NLU / NLG
Machine Learning
Python"
43,Senior Data Scientist,Wolters Kluwer India Pvt Ltd,"Pune, Mumbai",5-9 Yrs,"Computer science
Text mining
Operations research
data science
Neural networks
Analytical
Machine learning
Data collection"
44,Data Scientist- NLP/Deep Learning- Mumbai (5+ years).,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,Mumbai,5-8 Yrs,"Data Science
NLP
Deep Learning
Java
Algorithms
Artificial Intelligence
Data Structures
Statistics"
45,Senior Data Scientist,Walmart Labs,Bengaluru,5-9 Yrs,"Cloud computing
Data analysis
data science
Coding
Machine learning
Agile
Data mining
MATLAB"
46,Senior Data Scientist,ExecBoardinAsia,Bengaluru,5-10 Yrs,"Data analysis
data science
Machine learning
SCALA
Customer service
Business intelligence
Forecasting
Product marketing"
47,Sr. Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-9 Yrs,"Data Science
Statistical Modeling
Python
R
SAS
Data Manipulation
Artificial Intelligence
Data Analysis"
48,Sr. Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-10 Yrs,"Data Science
Statistical Modeling
Python
R
SAS
Data Manipulation
Artificial Intelligence
Data Analysis"
49,Sr Data Scientist,Shopgro,Bengaluru,4-9 Yrs,"Mining
deep learning
Neural networks
Time series analysis
Machine learning
SCALA
Telematics
Predictive modeling"
50,Principal - Data Scientist,Tvs Motor Company,Hosur,6-11 Yrs,"Development management
TQM
Project management
Machine learning
Middle level management
Data analytics
Manager Quality Control
Scientist 1"
